"key","message","comment","context"
"Action name can't be changed.",,,"java\com\axelor\meta\web\MetaController.java:101"
"All views have been restored.",,,"java\com\axelor\meta\web\MetaController.java:147"
"Created by",,,"java\com\axelor\auth\db\AuditableModel.java:49"
"Created on",,,"java\com\axelor\auth\db\AuditableModel.java:43"
"Export complete.",,,"java\com\axelor\meta\schema\actions\ActionExport.java:148
java\com\axelor\meta\schema\actions\ActionExport.java:151
java\com\axelor\meta\web\MetaController.java:224"
"Field is required.",,,"java\com\axelor\meta\schema\actions\ActionCondition.java:118"
"Following modules will be installed : <br/> %s <br/> Are you sure ?",,,"java\com\axelor\meta\web\ModuleController.java:42"
"Following modules will be uninstalled : <br/> %s <br/> Are you sure ?",,,"java\com\axelor\meta\web\ModuleController.java:43"
"Invalid XML.",,,"java\com\axelor\meta\web\MetaController.java:73"
"Invalid cron:",,,"java\com\axelor\quartz\JobRunner.java:147"
"Invalid field value.",,,"java\com\axelor\meta\schema\actions\ActionCondition.java:120"
"Password doesn't match",,,"java\com\axelor\auth\AuthService.java:220"
"Please refresh your browser to see updated views.",,,"java\com\axelor\meta\web\MetaController.java:148"
"Restart the server for updates to take effect.",,,"java\com\axelor\meta\web\ModuleController.java:41"
"The module can't be uninstalled because other modules are pending. Please restart the server before.",,,"java\com\axelor\meta\web\ModuleController.java:45"
"The module can't be uninstalled because other non-removable modules depend on it.",,,"java\com\axelor\meta\web\ModuleController.java:44"
"The scheduler service is disabled.",,,"java\com\axelor\quartz\JobRunner.java:157"
"Updated by",,,"java\com\axelor\auth\db\AuditableModel.java:53"
"Updated on",,,"java\com\axelor\auth\db\AuditableModel.java:46"
"You are not allowed to remove this filter",,,"java\com\axelor\meta\service\MetaFilterService.java:71"
"You are not authorized to create this resource.",,,"java\com\axelor\db\JpaSecurity.java:31"
"You are not authorized to export the data.",,,"java\com\axelor\db\JpaSecurity.java:33"
"You are not authorized to read this resource.",,,"java\com\axelor\db\JpaSecurity.java:29"
"You are not authorized to remove this resource.",,,"java\com\axelor\db\JpaSecurity.java:32"
"You are not authorized to update this resource.",,,"java\com\axelor\db\JpaSecurity.java:30"
"You can't delete: %s#%s",,,"java\com\axelor\auth\db\AuditInterceptor.java:158"
"You can't update: %s#%s, values (%s=%s)",,,"java\com\axelor\auth\db\AuditInterceptor.java:118"
